70
70
14
490     49
242     24
175     17
225     67
 80     32
453    135
141     70
489     48
365    109
420    168
259     25
401     80
281     56
 28      5
460    184
132     13
317    158
281    112
208     20
 13      5
402    201
108     21
299    119
 57     17
275    110
195     78
284     28
396     39
339    169
271    135
349    139
353     35
469    140
253     25
341    102
165     82
423    169
380    190
455    136
482     96
 10      4
360     36
368    110
444     44
275     27
109     54
319    127
384    192
297     29
280     84
103     20
476    190
304     91
238     71
388     38
 93     37
106     53
383     76
304     91
275     27
146     43
297    148
 47      4
 68     27
413     82
289     86
378     37
137     27
224     44
 45      9
406     84      346
414     88      692
200     61      500
557     57      514
420     69      578
939     45      347
611     43      331
184     69      435
993     99      516
413     88      270
870     21      692
404     30      226
749     11      553
748     16      307
257     40      696
178     69      213
299     91      435
235     10      217
700     69      535
766     61      495
989     28      437
942     10      205
634     29      672
476     52      546
492     97      681
111     33      536
349     40      465
571     82      459
394     66      370
240     74      421
222     92      314
707     73      262
405     51      413
415     32      361
830     83      576
421     64      290
180     59      508
406     42      207
982     50      271
935     60      570
869     76      524
724     70      509
955     52      597
511     65      376
809     56      362
195     13      592
267     70      389
650     28      343
940     11      610
873     83      223
738     50      639
577     64      593
853     81      475
225     41      610
962     42      438
900     83      201
699     90      692
343     78      450
213     20      461
297     11      608
703     33      671
249     66      575
490     43      417
134     29      630
753     50      482
187     44      292
497     65      466
605     16      536
844     57      546
172     29      537
423.91	168.99	808.62	832.79	197.66	540.84	424.71	764.68	787.02	567.09	932.85	707.66	356.76	789.00	383.00	994.46	416.56	916.70	501.81	575.53	853.72	813.90	244.09	591.90	739.04	131.28	256.36	723.08	458.02	454.55	506.33	880.92	622.54	314.96	713.71	819.21	854.79	138.42	583.89	641.81	704.51	516.74	349.47	61.27	305.73	731.47	55.73	721.29	648.17	556.54	296.82	501.89	370.44	539.91	93.79	109.49	670.19	349.16	831.57	128.21	802.71	337.90	9.14	425.25	651.86	721.85	244.46	506.65	859.27	827.35	
148.47	563.78	344.08	496.94	624.05	648.82	228.41	678.78	370.11	875.58	235.33	665.93	377.47	604.77	205.84	470.26	713.26	875.03	818.42	544.83	3.24	621.13	881.73	11.38	46.38	533.59	732.23	289.84	40.25	591.50	117.19	187.71	155.28	460.28	683.65	778.33	109.09	911.06	457.12	478.20	786.64	691.44	144.14	164.11	296.21	348.98	633.38	9.47	224.01	451.80	553.30	226.25	72.92	435.03	236.63	118.31	967.63	967.86	407.15	7.87	559.36	523.34	194.59	713.65	982.62	877.23	491.98	91.71	788.29	948.10	
568.92	574.93	639.54	712.05	738.05	934.76	61.03	371.42	943.23	284.04	822.22	496.53	509.29	894.14	930.56	744.92	12.45	898.19	712.78	418.60	905.06	272.15	940.95	99.65	984.79	923.57	975.88	476.77	15.28	764.18	424.87	583.19	339.11	64.41	295.25	77.16	998.17	355.27	447.58	941.40	638.31	269.80	437.93	147.60	163.94	368.49	891.52	175.39	266.68	604.30	592.99	171.75	875.45	533.94	270.40	860.24	457.51	246.28	337.01	471.78	10.46	760.88	54.98	348.57	824.29	349.22	424.73	822.46	703.50	871.31	
763.86	341.81	141.11	201.78	488.41	304.05	569.27	379.93	478.44	834.95	983.23	71.44	6.70	858.68	604.38	276.09	718.92	61.88	521.37	55.94	532.67	530.83	815.82	586.64	878.40	640.11	934.87	303.13	462.57	638.36	174.45	226.43	979.17	314.56	427.21	467.58	617.61	995.48	846.51	96.06	830.43	829.74	166.49	836.13	688.42	769.87	112.22	407.35	830.75	632.59	462.28	363.41	163.42	278.10	949.06	41.82	917.21	883.92	343.95	379.78	522.29	517.40	605.20	501.46	830.96	32.41	968.04	448.58	27.89	814.55	
543.63	857.32	644.29	709.12	693.45	332.71	478.99	804.66	739.06	309.74	437.25	201.34	672.15	599.66	478.44	621.21	640.48	395.65	505.13	983.43	774.42	27.42	500.83	379.63	527.88	331.80	411.04	495.92	779.37	437.93	310.47	323.01	295.25	953.76	32.13	987.70	286.47	510.12	792.36	25.53	818.86	229.61	225.87	491.01	828.27	703.31	112.22	468.75	98.95	616.35	452.18	872.38	642.77	952.02	252.00	170.65	283.82	662.04	665.58	63.19	99.97	975.05	385.20	394.22	928.81	416.33	381.92	215.28	925.45	174.28	
239.81	744.30	402.88	464.68	235.31	231.15	167.99	346.53	698.90	265.94	961.88	151.09	138.32	604.65	103.10	389.32	774.30	385.92	51.36	439.88	448.11	150.34	414.93	832.31	543.56	343.74	248.63	924.48	558.02	174.08	98.76	796.83	917.38	500.65	261.52	152.70	730.80	428.50	498.23	429.70	693.45	460.11	579.79	830.76	64.76	681.89	220.08	838.06	67.81	270.45	277.94	514.92	419.78	691.87	347.23	962.34	35.61	594.86	886.83	592.63	767.94	984.59	389.47	685.33	485.23	649.98	837.03	216.03	78.49	335.26	
644.74	770.93	794.36	224.53	601.69	858.12	905.42	820.78	696.19	972.23	91.22	973.13	487.16	510.01	665.01	833.39	472.35	699.62	428.26	359.18	292.25	196.20	343.77	680.72	880.53	828.00	330.70	717.55	44.04	408.19	52.81	687.77	179.12	846.17	911.30	779.82	704.30	816.72	600.59	400.49	788.95	690.82	373.62	276.11	200.82	38.63	109.50	672.17	737.24	536.76	31.35	29.50	731.96	374.12	709.22	612.48	202.12	39.92	330.04	245.15	447.11	381.85	931.93	625.23	228.02	843.22	405.05	931.32	659.94	5.65	
331.81	448.89	695.46	704.43	724.00	895.29	742.05	832.51	567.46	479.30	369.26	597.81	507.80	101.22	970.93	217.01	712.70	173.05	255.93	42.74	417.20	702.04	423.58	349.13	327.28	650.61	192.35	731.33	581.93	851.29	735.98	912.73	300.19	431.44	617.16	24.19	326.72	359.21	855.70	893.19	837.51	224.96	491.00	345.31	325.18	461.93	561.32	37.88	633.98	816.25	79.62	51.18	518.30	502.20	399.30	844.58	152.81	590.65	575.91	733.73	441.95	311.88	646.46	741.13	742.32	263.62	764.33	69.05	621.84	620.02	
961.23	459.35	843.98	452.23	803.66	169.16	913.16	364.98	206.04	547.13	181.23	284.66	597.31	698.53	785.86	995.61	543.11	937.66	586.27	119.02	671.40	28.21	429.90	317.86	768.35	172.23	580.48	532.67	240.27	202.32	152.69	201.51	660.67	995.68	652.74	464.33	164.84	565.89	828.31	369.87	113.02	9.54	653.53	709.33	707.08	439.39	704.94	250.19	377.05	291.21	368.21	48.45	318.42	797.12	365.31	86.77	968.34	944.79	618.44	208.62	147.11	770.13	409.12	806.79	765.81	61.86	271.12	929.65	626.75	99.43	
299.52	738.77	107.97	952.05	448.11	814.05	391.44	153.05	64.24	767.49	443.26	431.46	814.93	760.68	228.57	180.24	846.45	196.92	125.03	464.89	404.54	271.14	235.03	812.66	77.93	999.84	873.52	348.04	929.49	500.27	446.47	229.01	239.04	553.44	181.06	686.15	367.49	571.50	838.20	430.74	338.99	281.46	861.19	153.92	42.14	89.77	333.16	887.60	285.69	457.19	352.49	689.23	727.33	586.52	501.89	804.26	586.35	375.40	152.31	515.84	874.67	597.78	743.85	113.72	151.22	923.91	798.87	517.71	495.41	637.07	
947.45	833.40	917.53	808.64	986.32	958.68	897.41	319.48	846.27	183.10	775.67	198.76	871.33	503.01	784.28	373.21	307.27	370.63	747.62	458.57	885.47	622.29	56.35	629.32	735.01	206.57	553.23	533.87	723.28	48.64	170.94	670.73	881.03	88.47	479.38	867.35	47.15	376.79	186.84	892.42	558.89	961.51	91.18	430.21	464.52	874.46	802.43	770.79	245.09	550.04	229.36	130.55	172.33	284.71	758.87	906.34	490.28	312.10	440.21	213.56	359.74	610.16	883.29	240.77	697.63	362.66	108.13	743.78	738.45	293.96	
636.20	297.34	255.47	726.38	726.56	718.99	600.84	528.98	489.78	844.92	79.02	718.14	974.48	250.36	2.85	733.35	156.70	492.12	45.45	595.91	704.68	404.19	206.07	587.97	643.96	902.70	949.64	751.09	646.48	688.09	45.05	282.68	984.43	299.53	9.06	710.99	18.52	608.90	239.97	507.30	453.82	317.99	225.43	428.30	567.35	227.28	161.65	723.05	718.40	206.10	318.96	423.08	609.28	524.03	11.05	253.25	426.73	959.69	4.34	73.22	647.78	48.39	354.90	632.21	346.92	362.96	343.20	364.43	970.86	582.16	
870.73	424.68	899.15	96.16	851.97	466.50	322.44	13.62	189.55	40.84	218.71	507.51	462.92	827.00	31.55	472.98	80.25	457.28	432.67	83.58	529.50	80.45	130.97	883.40	711.66	476.89	246.36	54.85	840.32	217.22	636.02	711.05	640.89	535.17	806.21	492.87	1.67	128.65	505.49	190.23	168.49	723.20	696.74	630.41	550.20	727.29	103.38	629.45	184.57	535.05	712.03	713.06	614.50	842.00	596.46	326.16	318.88	841.82	380.01	159.20	59.03	16.03	869.25	698.93	550.20	675.46	191.80	550.87	803.11	696.29	
740.10	970.59	419.49	436.84	601.00	968.69	164.13	703.38	598.14	347.69	238.44	310.17	60.76	851.94	152.17	656.22	178.09	470.05	498.04	557.10	628.25	556.07	572.13	497.50	255.00	122.33	172.96	445.80	672.20	975.07	142.08	412.30	945.66	560.57	848.14	546.67	529.26	12.27	250.05	127.40	358.96	487.49	436.57	418.72	339.42	587.74	74.94	516.51	57.79	571.98	73.62	685.04	128.05	644.75	182.55	382.04	766.08	354.51	826.84	438.28	329.58	967.92	849.58	275.25	528.50	697.72	820.91	57.76	708.99	70.96	
184.17	67.96	557.45	619.74	485.68	895.87	207.48	559.62	412.38	264.27	131.60	485.00	948.31	258.64	129.75	130.86	639.69	894.83	484.37	466.53	333.10	812.96	434.45	182.69	88.20	961.95	879.41	908.12	19.71	588.40	978.08	202.88	655.36	535.53	821.61	141.04	431.40	29.09	699.66	842.78	292.36	830.26	327.78	240.67	88.90	456.53	370.52	727.59	351.36	853.89	194.11	683.46	666.85	627.57	865.15	754.05	589.52	744.56	662.17	608.23	332.96	640.26	810.11	987.32	175.79	631.72	128.36	606.19	659.81	827.02	
448.97	951.17	657.28	775.76	191.83	745.18	232.29	561.36	472.77	582.65	415.25	665.88	266.11	82.10	293.45	131.26	835.16	881.97	874.82	497.33	490.19	207.78	137.59	300.30	195.10	312.38	931.02	322.46	917.56	590.83	149.49	366.54	542.00	805.77	142.30	732.83	550.95	373.58	294.19	23.71	955.23	708.45	688.60	221.34	789.55	981.04	351.60	624.71	863.01	226.42	122.04	353.20	433.19	258.63	652.50	627.29	570.00	583.52	948.75	487.57	174.35	98.24	853.11	715.35	903.00	994.40	448.19	453.95	367.99	741.38	
476.66	323.22	449.82	165.26	543.56	239.37	146.30	894.16	863.08	9.31	120.57	984.12	361.52	552.77	242.75	14.02	180.06	811.75	596.54	128.81	299.32	769.90	226.04	152.42	485.25	129.05	146.82	932.44	582.00	513.81	673.81	58.66	836.03	123.64	222.92	379.59	362.01	368.22	273.74	225.09	376.53	393.32	209.21	737.05	945.08	450.95	750.07	125.14	262.70	346.61	252.94	561.01	116.51	477.99	712.44	600.76	606.03	858.26	533.20	188.03	372.07	207.01	245.69	208.09	329.64	467.61	586.68	690.65	834.83	859.42	
914.74	211.36	252.74	123.94	947.41	197.82	573.89	697.48	321.96	835.59	44.09	573.91	396.61	159.60	51.89	109.04	759.36	656.93	966.30	292.56	843.96	338.37	498.56	89.65	545.46	827.21	556.26	132.14	517.86	391.09	990.56	432.60	601.45	243.30	555.54	548.86	440.12	129.43	246.34	761.08	964.03	289.43	334.99	360.63	448.04	385.88	468.68	207.40	42.81	434.98	498.95	885.77	772.35	996.52	974.42	317.81	823.72	530.68	448.95	341.58	920.77	439.51	773.18	522.22	681.81	328.72	71.08	121.93	457.15	316.43	
882.02	421.17	604.86	217.01	780.81	52.90	601.89	249.48	259.29	643.70	683.46	757.24	529.48	455.81	753.76	503.90	772.62	577.48	34.58	221.56	918.07	954.35	660.07	691.24	476.57	341.88	19.96	546.65	462.82	476.11	862.07	344.83	896.28	466.93	560.84	677.09	518.83	162.73	925.57	777.12	805.44	609.04	534.37	334.92	64.85	288.13	837.81	836.46	864.61	871.39	58.03	782.68	825.73	717.10	473.92	302.30	58.98	492.88	847.95	520.80	967.99	710.02	864.63	864.27	176.96	425.47	541.36	694.79	587.21	466.93	
471.91	392.65	75.97	6.28	726.56	139.82	293.41	564.38	975.28	158.02	435.77	33.31	939.70	261.50	749.41	413.62	562.80	807.39	905.50	410.75	328.19	873.48	120.77	192.82	737.75	296.73	617.30	279.11	990.51	204.51	745.04	462.42	596.15	820.01	467.70	322.72	958.82	760.11	886.09	934.10	917.13	321.86	966.41	856.83	582.36	715.82	270.45	145.16	523.21	175.95	554.91	850.40	49.43	674.68	43.22	786.18	970.41	659.52	65.29	960.92	863.03	809.33	423.35	459.18	629.33	890.05	780.90	588.16	650.16	667.00	
