70
70
56
454    227
454    136
492     98
 93     46
238     47
466    233
 72     28
337    168
388    194
266    106
237     94
111     55
198     99
169     84
131     52
254    127
327    130
430    172
161     64
363     36
330     33
378    113
156     46
225     45
484     48
231     69
 74     29
 75     30
331    132
403     80
471    188
353     70
 75     15
328     32
401    160
220     88
123     36
334    100
408    163
 24      2
144     72
324     97
290     29
181     36
334    100
283     84
443     88
420     42
129     64
340    102
 42      4
355     71
359    143
241    120
448     89
370    148
107     21
 10      5
293     29
218     43
468    234
142     71
337     33
 32      3
298    149
 90      9
133     13
302    151
229    114
354    106
726     90      484
769     49      685
597     87      293
196     24      315
918     43      512
559     72      451
553     53      592
189     28      227
769     46      378
909     18      290
158     96      219
136     76      233
221     86      521
296     26      396
633     68      551
601     90      345
623     21      476
163     38      573
253     92      689
232     59      629
396     96      634
587     98      475
373     91      692
209     28      392
338     38      499
608     13      473
780     92      231
653     65      432
627     88      374
797     56      469
434     91      540
211     66      658
359     91      700
770     25      379
731     63      272
275     87      512
286     57      630
867     60      410
131     62      539
294     37      307
390     69      246
359     95      304
138     73      587
960     91      567
454     57      501
518     69      684
746     99      212
439     65      276
497     81      557
209     51      447
704     16      204
848     55      490
740     37      221
142     11      442
987     46      682
436     97      521
731     69      462
435     65      459
905     66      499
128     54      636
447     17      474
740     77      338
769     46      594
494     59      474
881     21      517
986     77      412
581     54      285
167     45      447
240     90      623
387     70      370
159.27	855.47	548.21	336.86	630.37	807.99	105.21	554.75	437.91	224.63	45.21	771.77	290.12	617.00	138.98	816.33	589.91	507.48	710.59	944.32	480.87	837.89	35.09	797.60	942.72	451.48	507.38	99.66	517.39	747.15	79.60	675.66	602.62	626.81	12.52	232.99	434.80	116.74	786.74	871.71	340.37	830.95	643.48	629.49	447.95	781.46	445.82	37.86	288.94	156.41	981.18	768.81	993.30	16.27	566.41	936.02	466.75	73.78	35.68	983.14	819.93	114.28	658.80	422.55	740.09	670.33	654.55	174.89	786.06	441.29	
46.60	126.43	272.24	689.08	754.92	719.20	470.54	200.74	756.06	758.49	356.16	737.24	527.30	349.46	752.50	93.71	285.48	219.25	166.49	320.16	202.40	985.42	433.44	860.20	407.98	173.53	530.53	62.52	347.42	316.59	502.81	393.01	442.02	774.05	82.09	196.94	493.25	551.64	396.69	249.31	310.13	751.85	985.54	836.42	101.30	738.05	929.13	385.78	956.30	95.62	704.94	158.70	81.04	138.38	18.90	488.02	310.91	548.43	549.54	657.32	864.03	52.35	50.34	306.05	825.41	131.43	501.99	318.66	682.07	897.68	
566.96	991.20	649.53	552.50	827.62	749.83	290.55	756.75	135.61	246.85	851.37	839.55	404.55	931.41	976.93	422.45	419.43	287.84	969.88	967.97	944.16	833.91	20.32	993.50	139.96	844.73	124.93	640.95	163.38	806.00	538.63	729.34	797.19	188.16	281.85	624.81	936.99	571.39	381.56	72.60	817.25	232.93	911.16	221.79	164.34	888.09	643.25	582.77	175.93	613.13	550.74	120.09	447.04	570.06	113.59	586.00	414.78	237.52	226.95	577.17	43.52	764.58	306.51	839.71	951.74	587.35	464.53	888.73	158.75	845.09	
960.33	974.99	78.03	871.49	196.79	241.37	759.58	839.04	823.14	934.51	452.17	373.88	54.60	898.21	942.94	167.19	484.21	357.72	403.72	710.16	933.89	446.23	474.74	240.40	285.95	426.48	826.75	749.47	315.21	984.50	594.57	275.54	959.49	671.59	147.03	156.28	911.96	905.62	994.32	735.11	840.13	446.48	108.99	893.73	344.69	51.93	60.93	827.90	408.65	463.64	538.05	342.54	908.88	12.79	581.94	194.82	438.27	408.69	943.30	752.48	393.19	537.86	28.02	352.68	209.46	174.06	507.97	121.42	79.67	502.29	
855.53	918.80	947.77	963.52	812.53	292.46	15.45	872.46	120.36	423.10	336.10	657.41	764.64	244.98	669.20	346.58	438.80	107.47	754.27	382.10	858.95	147.46	918.96	885.97	499.15	128.42	60.03	7.11	248.84	138.70	508.40	104.37	57.50	456.17	67.88	869.04	747.63	82.33	741.49	866.98	504.43	77.60	524.39	269.07	321.57	193.60	614.65	759.37	300.07	368.92	141.47	159.02	515.38	60.43	44.99	14.52	187.85	104.02	20.64	435.69	241.72	528.03	539.05	298.23	983.20	605.94	167.26	730.83	687.26	907.76	
597.81	191.69	984.35	122.20	459.76	305.93	314.80	74.41	65.30	613.87	442.32	205.77	771.89	956.70	265.20	815.88	970.22	452.05	918.91	989.86	886.73	160.63	517.89	425.79	457.86	501.09	31.72	624.12	231.92	717.99	531.88	828.73	908.68	516.23	949.93	368.44	821.16	264.73	441.84	885.46	877.60	883.17	91.23	649.49	839.87	355.42	465.38	810.09	806.47	384.28	799.95	693.20	543.92	317.84	118.99	1.77	817.93	149.71	624.90	49.84	866.70	156.78	877.57	775.38	672.01	827.50	143.82	493.17	92.23	584.66	
378.63	968.83	467.83	468.86	618.32	307.70	823.28	83.70	117.79	629.75	466.99	916.73	322.95	10.90	234.57	440.94	11.68	52.50	589.65	635.57	101.35	456.36	791.35	977.92	231.74	463.37	805.42	374.56	955.54	896.65	958.22	334.17	865.48	426.05	802.03	483.80	732.75	625.31	566.51	849.54	255.07	33.49	766.27	577.02	43.39	999.85	17.96	54.07	52.35	606.61	688.64	152.69	62.97	480.00	130.61	293.71	942.36	935.03	667.26	897.90	831.67	625.49	232.08	697.15	51.54	34.11	180.96	783.29	658.42	746.46	
632.83	912.49	778.95	399.10	489.51	821.35	398.94	506.47	874.42	450.29	113.08	563.06	601.99	175.05	43.06	731.60	467.76	984.42	666.62	135.02	882.32	498.30	759.51	114.39	195.45	810.05	147.50	375.41	593.34	804.93	121.87	226.16	717.41	899.83	624.26	206.92	721.17	23.20	712.38	595.59	472.49	824.46	158.65	74.48	998.51	200.70	805.08	466.27	185.12	471.70	600.29	67.44	969.00	359.80	180.83	164.45	169.85	327.34	538.86	762.19	132.26	659.73	987.35	848.67	559.56	611.61	55.59	280.73	633.82	766.98	
875.32	106.31	591.44	33.97	179.79	589.96	233.67	983.87	56.23	417.79	455.57	655.52	484.23	424.57	15.32	664.06	588.02	184.17	990.40	126.89	945.35	122.66	785.62	932.70	970.34	345.18	544.31	25.93	624.91	178.13	791.91	500.23	283.44	383.35	533.20	462.23	972.31	765.87	446.10	28.53	183.67	900.66	683.05	666.90	325.23	697.37	330.96	912.26	880.54	321.36	39.14	825.89	443.02	823.76	758.60	413.36	168.94	302.91	438.29	792.85	480.04	230.20	293.09	762.48	612.55	825.29	224.71	584.85	591.17	669.81	
612.39	773.83	570.47	295.44	440.73	894.70	991.81	770.69	806.96	872.35	92.06	845.10	698.25	534.08	668.86	456.84	946.44	836.80	758.75	384.73	629.66	238.80	613.93	921.75	1.28	226.48	747.04	224.99	810.33	338.20	893.79	422.72	112.04	464.26	717.16	551.77	358.97	708.97	322.46	165.92	581.32	413.51	11.02	279.57	946.59	678.89	735.41	893.04	515.69	494.16	277.77	145.35	731.96	890.69	67.10	732.24	117.17	813.13	956.23	926.50	151.34	850.02	349.21	262.37	314.28	66.37	813.14	672.25	774.34	135.60	
837.18	355.66	548.11	847.20	634.22	494.70	526.09	369.63	387.74	41.78	862.79	664.51	186.13	594.75	555.20	252.22	326.99	671.37	65.36	283.21	597.87	215.69	133.23	946.08	477.07	446.52	12.45	290.20	118.77	785.79	424.80	954.95	141.45	971.91	802.15	774.68	466.62	328.23	144.31	853.36	369.01	7.10	517.86	554.14	600.85	73.06	805.36	926.84	743.43	869.72	210.06	341.30	85.41	342.29	287.39	561.48	787.81	298.84	850.68	905.58	84.64	275.48	860.53	225.09	247.39	662.67	998.77	713.01	989.91	143.08	
566.36	358.92	149.18	84.23	912.05	749.03	156.29	717.41	675.88	898.73	587.13	884.93	240.03	671.54	227.22	526.42	233.01	15.04	824.26	83.69	919.62	907.89	358.18	780.15	132.98	604.57	442.82	131.75	317.58	432.73	273.82	882.94	790.65	422.00	966.17	702.70	171.03	122.46	420.11	845.91	21.18	7.24	730.84	260.21	677.78	957.07	785.63	909.79	971.10	609.89	992.48	890.72	517.78	350.66	670.87	649.76	954.23	113.69	780.51	271.80	545.42	54.34	154.74	336.06	475.34	120.91	38.76	645.37	242.36	457.87	
491.28	262.55	464.11	222.12	521.76	141.89	179.19	307.39	51.68	150.29	916.27	44.16	41.02	434.05	393.82	710.88	83.81	348.05	823.57	863.33	618.85	368.99	916.66	772.59	704.05	392.00	892.50	741.82	37.37	134.87	199.69	527.66	396.41	662.80	748.78	917.17	803.69	926.97	224.56	854.37	77.27	140.83	897.53	117.28	573.88	291.35	827.17	656.69	638.40	650.74	520.02	257.25	19.73	436.68	29.84	722.79	827.69	921.35	464.60	864.06	56.21	663.29	391.72	451.63	326.09	140.50	368.80	129.78	67.47	592.36	
983.15	143.74	732.19	880.67	260.03	306.07	172.02	87.19	961.76	809.42	736.94	481.78	66.67	755.67	917.46	95.51	478.45	745.15	16.86	942.06	609.21	72.07	605.35	999.93	522.70	930.44	140.43	890.50	60.22	206.90	482.85	43.37	349.65	215.04	923.04	608.67	520.11	95.06	694.87	481.87	903.48	431.80	962.65	969.15	187.47	880.11	64.66	664.92	625.26	80.51	606.98	234.47	151.58	212.33	234.40	673.28	142.77	373.83	563.78	201.99	579.73	46.63	244.36	928.38	260.67	167.41	537.05	779.78	261.47	231.92	
261.64	164.95	662.72	224.29	134.10	849.19	104.40	197.76	514.12	728.66	277.27	121.10	962.13	427.85	332.43	196.53	101.13	474.20	569.36	663.91	675.19	149.10	709.54	918.56	77.48	969.21	85.97	613.53	748.99	346.44	844.45	10.64	510.39	507.18	233.93	643.49	356.37	337.33	840.25	869.49	65.99	117.52	989.59	28.12	544.38	322.02	223.65	644.51	795.22	792.02	308.42	470.41	940.12	17.96	388.97	17.59	986.17	473.94	630.13	735.17	819.38	474.58	744.80	329.78	980.76	977.73	972.27	337.13	315.06	812.52	
206.62	380.05	929.05	196.21	407.17	473.43	517.23	629.82	117.94	312.45	421.84	425.36	781.87	361.96	442.32	170.84	378.55	428.49	643.78	8.68	163.66	463.17	482.26	907.46	791.94	463.02	885.19	764.21	799.15	200.25	576.73	5.77	579.30	505.78	200.99	985.46	978.21	717.22	615.29	96.14	29.67	37.13	520.50	810.54	398.09	961.82	980.38	775.64	390.31	624.17	783.32	552.97	87.33	265.58	460.44	878.27	727.60	345.63	642.48	526.75	544.88	219.22	531.52	124.17	724.00	731.51	109.64	702.20	448.73	723.93	
797.35	477.40	760.05	317.85	287.94	158.14	279.67	268.33	932.78	668.98	891.49	716.09	221.96	977.83	980.67	681.39	856.10	708.27	27.02	498.58	235.01	570.90	716.80	765.53	694.07	440.80	497.04	802.71	143.00	944.77	526.64	939.34	422.17	286.69	257.19	709.11	443.83	535.86	976.44	376.61	204.84	867.93	92.70	425.80	845.76	73.38	107.19	701.86	780.64	133.21	200.44	15.66	703.11	916.24	780.19	397.18	357.03	277.23	199.89	499.03	222.00	725.52	438.38	643.17	12.21	694.57	352.28	455.04	230.43	328.72	
830.65	434.27	196.65	922.35	859.06	42.41	994.73	965.25	743.26	775.37	98.46	942.70	790.03	800.56	858.94	570.22	197.74	215.97	846.46	396.63	714.01	68.46	122.15	152.38	710.63	133.36	845.95	62.91	587.41	76.38	390.63	418.06	509.65	586.28	340.41	368.71	627.69	335.14	333.96	370.95	110.52	431.42	313.66	899.55	231.98	172.60	469.77	428.72	387.57	316.23	824.35	101.58	383.68	945.50	252.96	94.31	78.86	98.92	156.22	665.27	174.30	545.85	83.33	682.95	132.13	422.74	51.66	758.82	756.89	384.62	
129.78	866.40	815.04	442.44	765.95	47.02	614.03	235.72	474.74	1.61	550.95	299.10	102.19	933.63	244.60	354.15	27.94	322.46	452.07	183.16	986.73	625.37	728.02	70.06	308.31	859.15	491.80	358.97	617.97	248.69	742.59	746.75	115.09	557.63	189.18	880.04	603.65	802.22	115.77	78.39	802.83	665.71	376.49	904.02	599.35	620.08	258.17	626.29	941.54	709.24	808.46	928.28	334.61	536.47	997.34	641.92	395.62	489.14	999.89	13.59	736.83	742.48	759.34	850.93	300.10	947.52	730.97	902.75	749.74	845.74	
980.14	552.57	511.45	356.63	456.59	110.80	975.71	713.75	736.09	917.26	422.99	544.54	845.53	756.60	81.01	842.87	398.52	475.63	332.01	398.41	488.22	68.84	140.89	247.56	918.77	439.99	195.09	649.74	342.74	943.83	495.47	322.89	496.40	6.92	678.52	951.98	116.72	654.23	665.74	851.81	571.48	88.73	396.35	417.02	844.33	476.36	259.89	242.85	950.99	590.90	640.26	439.22	658.74	780.15	685.78	577.51	220.14	879.87	227.24	561.89	823.69	721.72	883.77	320.09	727.64	562.29	272.07	843.36	216.52	936.81	
695.17	787.00	25.54	91.52	204.02	868.87	566.88	462.90	111.73	517.87	53.80	750.99	956.09	711.54	531.14	641.87	289.05	750.29	521.74	515.29	312.17	345.43	237.01	195.95	664.52	963.65	757.23	935.60	807.01	972.75	872.41	502.17	759.75	896.95	592.69	962.77	765.82	159.57	425.67	876.55	676.44	478.47	627.54	632.53	190.01	158.69	274.40	478.06	907.97	795.14	992.35	220.15	140.57	229.35	415.10	804.09	193.00	172.33	739.69	999.01	145.08	612.09	501.18	903.83	509.04	93.87	866.60	274.87	252.44	292.27	
151.42	927.88	769.75	777.96	560.41	958.76	935.65	833.81	436.82	843.63	628.95	429.16	63.77	768.51	657.52	477.87	572.60	849.52	649.20	312.29	848.52	793.28	923.38	349.71	697.11	432.42	442.58	563.71	706.29	694.02	854.99	856.71	621.89	624.73	634.67	182.30	583.49	570.32	16.11	20.31	413.95	644.06	448.47	476.72	412.57	105.99	953.59	984.18	954.50	602.79	296.46	803.03	396.07	219.85	152.73	93.18	651.27	594.31	655.89	357.56	288.33	510.88	214.27	909.22	135.61	847.94	91.52	718.11	418.26	106.63	
737.41	831.20	749.69	185.88	307.92	162.27	290.87	261.51	146.44	245.37	863.30	441.91	48.40	259.37	660.75	200.13	351.55	312.02	793.44	7.45	668.58	81.76	517.33	881.84	989.98	651.94	729.78	81.51	370.05	148.04	187.14	107.46	978.24	935.84	292.35	286.16	98.10	582.22	546.67	243.54	826.59	409.97	684.45	873.99	668.35	345.20	74.12	19.90	656.23	866.55	26.35	324.80	947.32	542.67	206.65	937.30	194.62	935.43	18.81	563.66	83.46	204.95	670.13	61.70	140.79	961.47	346.86	237.89	543.69	892.53	
480.44	370.28	302.50	164.89	244.26	969.85	509.09	317.38	988.75	165.32	183.93	15.10	489.12	131.25	556.77	694.77	68.55	750.39	630.19	86.37	314.05	712.66	290.32	983.18	773.36	430.11	944.65	120.21	667.00	488.34	12.75	147.43	857.62	314.25	311.32	101.88	284.10	819.42	418.26	272.85	983.73	601.20	286.95	472.86	731.45	842.72	167.62	799.01	593.10	796.82	884.37	906.15	509.48	174.69	889.33	282.83	603.80	833.98	402.05	270.79	322.32	413.79	417.23	179.94	727.04	727.55	280.83	11.14	546.97	698.09	
