70
70
7
126     37
123     36
485    194
335    134
 31      3
175     17
212     42
499    249
 76     15
425    212
464    139
431    172
449    134
394    157
376    150
207     20
 84      8
405    202
372     74
 97     48
425    212
 33     16
469    187
240     48
213     85
480    144
499    249
 12      6
 12      3
102     30
304    152
370    185
436    218
 51     15
225    112
412    164
111     22
381    114
 71     28
220     88
381    114
 56     11
214     64
153     45
271     27
 94     37
255    127
163     16
 55     16
210     42
 53      5
 25      5
268     53
436     43
122     12
209     20
450     45
 94     28
 25      2
476     95
 88     17
 72     14
341    102
235     94
 35     14
262    104
162     81
 50     20
172     51
354    106
662     45      675
384     33      468
646     37      452
990     79      609
318     38      371
121     20      589
102     91      362
422     49      272
758     95      219
810     15      277
458     52      228
942     46      343
270     72      693
971     56      626
356     44      633
676     40      508
159     61      468
389     74      529
525     15      297
930     18      514
847     14      503
464     37      607
156     53      300
687     18      669
799     27      285
771     90      427
601     15      264
954     92      398
858     31      511
326     10      346
827     18      279
725     23      232
555     57      614
887     20      531
690     56      641
416     58      284
460     10      666
374     35      549
259     78      604
924     17      685
151     21      627
511     63      632
702     87      575
720     74      365
981     18      303
663     89      507
244     68      673
989     50      571
995     51      582
371     39      517
681     42      385
813     74      384
458     52      423
250     11      231
742     96      352
575     23      509
163     70      458
741     13      663
439     47      453
314     80      516
406     68      309
522     36      278
561     86      548
842     67      469
374     89      355
536     50      234
790     63      554
393     79      320
128     38      584
765     87      457
782.80	708.33	601.56	699.95	472.00	706.33	469.07	843.42	842.40	952.21	599.84	473.98	676.57	200.85	906.84	253.40	710.11	731.47	909.03	986.85	515.47	562.05	673.54	95.86	43.64	284.55	786.39	755.22	76.55	633.45	791.31	858.35	341.78	392.88	558.30	812.78	99.21	27.38	656.20	940.61	978.59	256.05	414.58	655.15	455.90	321.42	907.56	166.00	52.89	816.59	152.86	567.36	378.64	825.40	662.22	421.28	109.95	448.61	176.50	185.50	82.06	966.82	43.85	422.84	359.69	601.16	235.62	457.90	627.54	890.82	
398.50	606.12	146.87	812.09	261.28	601.77	133.51	168.83	766.77	185.40	984.42	918.63	751.76	363.06	744.03	413.98	783.34	852.98	861.59	958.84	38.48	942.65	925.65	81.34	365.49	285.35	681.50	600.11	742.25	309.03	490.93	140.75	914.15	636.80	951.84	175.43	238.57	85.35	343.27	5.34	269.75	327.69	922.97	21.52	689.75	667.00	434.50	473.09	519.98	296.09	431.93	557.46	238.74	357.58	637.80	603.23	641.93	319.29	203.34	384.18	627.32	693.27	523.93	541.48	330.07	475.77	715.91	567.64	560.12	59.18	
571.98	828.87	385.86	494.95	849.39	75.61	161.95	283.89	547.70	680.93	578.98	978.63	238.39	816.73	336.21	875.19	419.95	977.14	194.48	622.29	361.32	820.81	315.56	884.24	362.28	644.62	360.01	78.19	212.26	919.12	136.37	783.24	748.00	521.23	278.19	597.39	595.85	439.14	880.28	143.55	120.06	459.26	122.18	357.45	275.99	457.39	232.64	694.94	434.53	426.12	317.23	794.85	246.93	631.78	679.09	608.21	276.41	39.10	685.40	487.67	957.22	820.77	270.91	705.22	342.01	548.10	302.61	936.85	986.24	182.88	
80.40	106.30	641.14	201.58	462.75	916.13	657.97	694.39	611.07	92.50	120.52	927.29	886.35	366.44	559.08	565.44	973.65	834.48	603.54	659.06	322.15	560.76	479.83	592.06	265.98	820.84	140.16	567.59	757.69	126.39	749.47	837.10	231.69	390.62	38.68	693.45	306.74	695.65	387.84	916.81	787.16	507.36	844.11	673.51	872.80	403.18	238.95	846.45	237.67	841.49	505.51	558.82	402.26	984.34	150.88	667.24	805.18	290.04	234.83	562.87	415.43	983.31	399.97	646.13	373.92	437.65	339.57	679.67	133.30	726.42	
596.48	919.46	233.77	440.59	592.97	106.57	842.77	830.92	952.02	80.43	672.41	457.53	638.25	74.67	441.87	788.13	740.91	247.05	78.17	974.75	808.92	492.60	958.05	208.88	138.72	331.98	645.53	477.30	11.65	777.83	203.71	607.13	697.29	436.49	47.71	290.26	542.06	889.48	121.18	494.09	968.92	792.59	950.62	607.17	866.27	392.49	395.30	607.18	638.53	472.46	581.93	447.45	964.06	539.98	655.34	102.78	870.96	300.87	579.07	881.61	78.70	781.79	488.73	774.99	218.27	535.45	65.25	759.33	424.93	185.44	
253.42	393.84	977.03	204.03	1.01	843.29	595.52	395.31	450.48	234.06	866.77	32.40	680.51	830.82	571.39	335.85	932.60	442.35	635.71	511.68	323.95	713.42	293.46	811.69	488.41	510.73	347.14	552.66	270.06	771.07	737.10	522.48	164.91	714.13	725.51	164.92	557.42	321.04	559.23	7.90	554.09	426.00	39.30	234.60	256.82	609.69	569.45	189.43	52.03	205.16	700.10	374.99	917.58	992.56	186.68	405.99	503.29	532.82	957.65	772.36	303.88	694.75	294.84	467.79	408.88	20.35	631.72	965.31	340.39	190.95	
972.20	893.48	615.94	11.51	128.09	871.77	620.19	696.54	61.19	671.23	900.70	760.30	46.22	818.27	752.86	231.90	224.26	256.15	763.71	181.91	28.51	67.59	875.67	322.35	534.39	284.55	341.71	166.10	249.85	681.10	356.05	222.06	574.58	970.99	232.56	701.67	842.76	851.76	398.20	902.95	522.99	298.90	663.25	568.20	117.18	416.11	799.10	340.44	671.26	562.81	521.35	698.77	629.41	397.02	21.13	163.79	680.57	361.83	328.90	929.42	42.93	683.94	151.48	616.51	654.94	383.05	318.18	497.70	234.80	715.38	
400.65	756.79	14.28	63.90	324.99	130.46	479.01	124.10	469.89	150.27	685.91	990.25	848.04	315.32	387.27	868.17	478.11	67.84	230.00	806.01	996.26	271.93	489.95	147.74	887.43	144.89	529.79	205.61	641.58	763.59	919.99	42.23	520.38	933.27	105.13	844.37	63.72	583.14	967.47	532.62	732.41	653.38	522.86	580.46	967.70	909.13	448.63	445.81	975.97	677.63	251.82	972.23	948.55	740.77	119.97	835.99	884.66	648.75	41.60	526.24	412.34	960.58	567.48	931.72	893.85	671.61	776.10	956.57	254.75	743.57	
489.19	986.16	396.95	12.05	566.62	364.64	920.18	15.25	809.45	896.15	691.87	61.27	868.38	640.43	801.04	987.34	476.41	685.69	636.10	517.01	211.94	48.44	477.59	778.41	979.16	371.44	450.02	755.26	328.01	703.78	498.82	816.20	689.94	894.77	827.25	256.56	259.41	747.44	270.81	68.86	643.59	961.68	129.13	511.96	602.11	929.17	499.31	78.52	614.86	135.41	594.52	825.80	182.85	72.11	604.21	162.01	442.56	54.23	916.27	769.57	757.01	415.09	585.77	446.95	309.86	413.02	702.51	568.27	160.46	972.32	
636.13	803.05	934.00	764.26	315.01	536.10	693.43	813.32	613.62	308.29	947.72	208.15	134.09	130.57	279.26	737.30	291.58	720.82	790.54	207.85	490.39	547.54	621.94	76.16	993.49	930.80	488.18	696.00	499.07	647.64	668.32	135.20	450.69	602.32	898.47	764.70	138.42	591.90	578.02	751.04	899.19	525.74	958.19	33.28	655.31	237.45	769.59	945.89	957.27	560.12	153.74	447.65	107.67	774.68	522.81	101.16	705.48	10.99	796.16	204.55	657.63	464.48	338.75	108.32	66.80	237.22	872.02	204.22	828.12	450.04	
954.26	727.31	974.78	912.45	759.60	630.09	149.90	529.18	575.98	107.17	89.31	728.71	553.82	195.98	503.39	76.63	296.14	208.87	86.62	92.30	412.42	743.25	555.78	750.17	850.57	621.58	986.39	722.59	824.80	814.51	172.63	779.06	541.82	147.41	691.51	301.42	776.49	840.42	829.61	352.47	946.58	917.92	81.18	500.40	113.89	583.57	576.03	409.03	791.44	661.65	500.32	203.86	404.90	56.10	953.03	255.48	676.68	939.42	977.07	501.48	753.94	149.70	280.54	295.76	296.11	971.06	596.18	72.60	811.47	425.79	
424.06	758.06	343.71	504.25	258.46	456.60	87.82	833.50	864.63	878.26	495.15	364.95	82.13	899.05	420.05	35.16	154.53	96.74	973.58	131.60	597.22	727.52	280.30	876.76	23.28	575.41	847.82	618.47	647.01	659.29	44.26	71.07	417.35	386.97	574.32	674.81	842.57	661.14	508.31	707.19	539.40	3.46	72.14	620.53	901.51	491.20	654.69	56.04	586.93	628.27	186.64	184.15	355.79	465.94	60.91	378.08	41.35	907.73	995.54	687.35	567.03	39.80	757.42	983.38	425.77	331.74	658.20	268.34	991.88	166.51	
974.53	531.28	168.96	46.67	151.80	70.47	536.86	805.49	125.51	123.80	433.76	311.15	306.95	788.55	776.09	366.86	166.63	816.44	274.59	162.17	503.80	840.62	200.97	261.22	824.00	625.74	591.96	482.20	893.08	583.83	647.70	867.61	115.11	815.67	913.27	265.91	885.14	450.14	71.40	10.65	572.93	504.16	320.80	878.88	292.72	96.90	245.74	458.34	912.34	519.33	619.51	416.13	359.96	819.49	676.35	183.96	445.23	268.31	665.16	338.31	851.15	312.86	205.91	965.26	128.53	119.19	231.17	13.67	568.33	301.57	
23.32	141.26	804.73	343.13	20.14	97.45	439.02	264.88	554.79	351.36	783.22	174.31	766.50	143.17	992.80	442.85	326.13	438.03	710.16	990.29	775.34	561.31	303.15	980.25	526.57	430.68	99.44	756.74	443.35	666.77	58.31	465.67	807.03	862.05	807.80	826.17	958.50	246.82	91.05	513.29	597.18	873.27	686.60	363.68	16.44	679.40	805.53	341.57	117.42	515.70	331.86	891.76	77.01	634.01	872.01	602.58	64.69	970.45	359.32	507.04	637.22	416.63	971.71	444.25	278.67	779.51	270.42	237.17	26.33	360.47	
749.46	622.52	233.73	436.06	985.20	249.17	115.45	790.73	589.74	231.88	306.43	920.61	123.64	382.44	554.62	994.65	984.02	618.31	965.10	343.33	125.36	602.32	758.96	97.07	46.57	37.63	875.58	315.99	273.80	900.92	675.46	23.26	523.43	908.19	458.32	508.63	157.36	572.78	299.37	746.11	803.66	604.79	666.71	926.29	986.23	221.33	920.94	970.25	838.64	886.04	313.58	963.00	488.37	72.54	60.08	533.94	109.17	934.66	848.92	381.98	835.58	524.38	404.24	359.01	432.57	861.57	866.64	588.93	434.35	166.01	
335.04	238.00	769.80	1.75	164.29	756.04	222.08	85.24	726.29	60.72	970.28	39.87	23.73	458.64	111.41	82.80	991.58	219.58	17.46	840.51	600.56	852.04	364.89	4.80	211.05	796.46	865.37	77.69	385.39	299.72	242.70	719.43	536.72	12.51	720.18	700.01	767.55	941.26	784.25	493.83	1.98	754.53	532.70	24.71	213.17	643.10	106.51	204.75	861.68	122.98	45.26	462.24	974.01	409.14	466.05	185.07	205.60	331.42	261.76	589.99	630.13	503.46	309.42	166.85	514.97	29.60	865.86	282.52	969.86	650.11	
775.35	970.84	404.63	308.05	994.56	616.80	950.15	101.07	820.55	811.84	223.05	864.81	274.08	197.06	273.95	739.13	381.13	478.55	70.54	641.89	68.54	699.68	145.35	376.96	865.52	659.32	405.56	731.38	940.84	375.42	381.49	716.20	346.27	785.13	24.24	340.82	401.93	973.40	440.89	222.48	785.24	662.94	87.29	59.32	859.00	360.25	797.45	240.13	837.80	866.99	881.02	905.35	566.67	26.37	282.31	432.19	684.69	686.87	163.58	625.54	62.30	544.07	341.73	407.56	329.19	364.98	747.39	730.12	338.37	188.28	
951.61	123.61	850.22	38.90	181.93	709.23	398.15	978.37	948.36	235.95	845.36	829.37	141.30	412.03	854.74	422.61	843.22	539.43	109.48	6.80	164.97	170.78	549.86	505.70	577.34	878.06	869.68	324.73	608.18	208.05	512.01	559.79	330.66	362.24	597.69	511.59	71.46	994.84	489.96	19.82	230.79	335.32	848.19	371.09	746.35	702.93	792.70	589.58	242.36	901.18	595.37	406.33	71.96	145.24	911.03	648.30	23.29	780.70	972.03	630.48	987.75	484.05	190.27	318.41	845.28	786.96	829.00	915.75	781.80	318.96	
934.57	12.60	653.28	782.76	382.69	399.64	485.69	175.39	988.21	727.05	76.57	583.59	133.38	147.53	727.82	44.41	794.84	750.12	824.11	766.87	380.59	811.87	250.92	569.86	130.28	96.20	356.82	958.28	11.95	138.62	277.24	945.51	150.22	929.52	728.27	531.91	329.16	213.96	706.30	317.37	940.01	781.87	899.96	73.39	928.40	627.78	116.79	723.24	377.90	939.91	490.11	757.49	751.77	740.02	327.35	881.05	835.22	683.17	839.33	846.17	820.79	116.57	791.68	970.01	46.08	519.95	501.92	374.24	732.91	208.21	
690.61	672.92	989.08	590.56	745.31	917.48	218.34	861.10	640.72	595.24	801.01	130.82	352.73	552.78	869.85	679.08	433.83	705.07	362.25	273.16	551.23	183.04	388.73	342.92	153.05	433.81	861.87	653.97	807.05	594.78	861.18	497.66	267.70	850.26	88.23	13.00	767.74	305.57	873.11	408.46	899.81	674.11	538.29	252.53	226.89	408.13	930.61	659.73	113.20	292.86	931.89	663.44	474.90	320.62	6.35	626.95	753.43	867.22	280.92	560.48	462.00	142.10	58.15	728.70	991.36	145.37	740.70	759.11	449.94	613.81	
167.57	349.75	287.92	704.86	601.28	513.81	112.99	531.89	173.54	225.20	823.75	105.43	887.63	298.65	425.05	892.98	924.60	178.48	760.20	205.52	737.97	222.20	346.63	795.11	949.89	337.99	939.49	690.59	97.10	389.43	304.40	263.67	738.17	591.31	967.53	339.45	105.13	80.52	870.34	277.66	304.72	694.10	382.09	192.35	991.75	806.14	85.33	916.35	983.63	844.53	121.88	721.59	66.72	467.50	516.71	16.61	804.49	456.19	706.20	900.59	844.62	10.60	164.25	582.79	600.91	131.78	921.24	705.04	211.30	791.59	
981.70	515.02	485.68	363.80	706.37	477.43	169.94	790.70	393.79	153.57	635.22	514.66	874.16	700.95	981.17	390.87	716.56	785.66	846.07	422.76	686.24	690.68	432.36	849.50	273.47	33.28	980.28	194.72	737.32	191.58	985.31	719.02	705.60	470.99	82.82	411.97	947.42	251.76	202.67	341.21	404.33	836.89	854.87	278.50	537.84	836.04	668.37	254.40	621.69	514.44	676.16	307.94	205.12	108.53	157.43	477.59	140.81	137.71	671.31	877.12	328.29	656.62	596.15	33.89	127.60	677.97	444.86	75.02	928.73	646.53	
415.23	333.06	483.41	270.10	610.56	21.25	106.14	278.93	274.65	726.83	792.36	949.81	34.76	996.48	58.34	191.20	474.08	198.14	327.91	145.39	75.27	655.20	801.00	670.41	688.09	927.61	348.38	132.95	2.63	277.11	778.48	416.86	609.17	261.89	685.96	219.73	282.14	791.10	497.66	555.79	517.93	290.03	505.60	551.69	286.51	562.94	741.89	759.59	760.08	69.79	903.98	834.35	724.00	704.98	504.76	412.09	632.59	852.15	544.04	634.22	129.26	322.52	51.08	737.43	583.41	736.05	956.16	864.55	527.15	453.83	
