70
70
42
164     65
343    102
422    126
187     74
157     62
111     55
370    185
203     60
146     58
192     38
393    196
157     47
339    169
121     24
478    143
295    118
 49     24
251    125
388    116
 51      5
216     64
364     72
388     38
115     11
284    142
145     43
330    165
201     60
273     27
380    190
190     19
487     97
129     38
295     59
271     81
 50     15
 93     37
 63     31
183     73
110     44
283     56
450     90
248     99
483     48
452     90
473    189
248    124
467    233
408    122
479     95
203     20
156     62
250    100
363    145
 88     17
100     40
419     41
185     92
189     18
389    194
241     72
379    189
425    170
451     45
212    106
117     23
168     33
404     40
183     18
437    131
807     55      358
163     49      542
111     87      205
577     72      596
817     33      400
834     25      473
158     11      250
429     97      227
330     19      327
689     24      676
705     13      532
801     96      205
653     34      699
746     55      696
130     78      605
460     71      468
414     30      431
201     55      335
993     32      626
411     66      330
883     27      456
341     64      371
562     71      346
678     32      206
799     26      588
221     92      654
760     35      389
219     49      269
533     10      450
505     89      247
794     72      209
994     28      354
684     32      589
225     61      461
466     16      497
485     10      536
978     61      480
585     15      547
386     78      563
628     27      354
519     91      268
280     40      394
968     59      359
888     38      266
561     90      389
954     54      264
554     39      280
154     16      366
438     45      646
507     16      206
113     11      242
448     37      402
310     87      377
223     10      635
789     51      408
374     22      512
192     36      588
782     74      597
251     48      581
254     97      585
962     44      390
660     53      336
451     76      238
642     89      526
290     43      598
285     24      535
336     27      361
284     60      624
258     11      628
737     31      223
881.38	417.34	929.64	943.71	339.77	1.23	951.26	333.17	73.88	893.64	212.06	983.88	81.93	98.79	774.21	960.40	100.86	107.98	607.88	883.27	673.22	118.26	453.45	385.90	998.24	623.53	969.35	60.07	304.66	831.73	35.57	186.04	249.07	964.21	129.75	587.83	964.44	81.00	920.00	38.32	973.65	132.06	22.20	55.58	229.85	795.40	15.98	329.71	902.39	622.85	212.98	575.61	740.11	665.43	960.51	738.35	288.96	929.86	797.42	592.62	761.59	831.99	777.66	10.65	796.20	906.40	597.49	760.64	986.41	517.48	
797.96	960.05	648.54	819.16	15.63	877.40	614.56	30.61	207.11	516.95	652.46	419.09	92.56	392.57	84.52	53.07	130.92	372.49	981.94	927.34	964.11	743.52	759.33	741.76	753.18	555.53	648.17	350.66	316.17	634.57	867.15	114.13	594.63	515.69	932.29	609.26	393.09	546.85	638.87	599.20	63.81	291.33	18.29	155.37	682.90	101.81	207.44	812.82	473.30	189.37	740.16	437.41	931.90	499.49	179.17	685.08	55.02	826.34	35.74	370.19	460.91	901.89	483.33	55.54	417.58	415.62	663.80	809.67	961.47	302.67	
408.86	25.28	593.00	426.16	179.64	275.91	526.97	386.08	88.73	999.27	574.46	827.90	436.68	506.36	327.39	614.86	191.43	381.41	441.19	226.18	750.60	901.11	128.07	233.93	955.64	544.64	648.55	619.44	354.31	610.02	921.11	762.18	634.30	514.12	188.33	812.94	789.02	714.30	199.02	876.76	713.57	772.48	704.65	150.26	278.84	32.04	764.11	469.28	412.45	205.31	694.45	163.05	106.41	821.52	395.98	62.06	366.16	44.53	680.50	719.47	653.54	601.61	481.65	287.84	115.72	668.98	100.78	903.75	383.28	298.81	
780.50	96.86	71.29	485.16	246.11	349.13	516.20	10.23	817.40	927.65	214.53	511.85	90.70	319.95	333.37	485.69	381.00	698.53	529.21	61.50	418.01	182.76	662.11	898.66	469.60	776.83	567.64	569.38	680.58	949.92	867.18	461.08	46.78	937.47	945.24	291.89	286.60	461.44	301.12	104.00	389.09	514.65	614.86	478.79	833.60	947.23	963.48	214.60	645.76	492.69	275.10	63.77	674.45	936.21	961.43	144.05	713.04	529.07	712.43	393.62	479.00	579.61	853.70	524.78	517.08	798.94	815.67	802.68	260.38	116.79	
905.68	648.47	630.44	520.54	127.26	464.04	467.77	90.74	677.65	113.54	582.43	951.75	176.31	256.88	887.96	137.74	399.93	601.01	665.81	112.35	993.63	144.81	690.96	847.33	668.58	208.04	646.27	484.25	10.72	905.66	600.04	915.41	554.13	230.49	435.95	680.39	693.53	902.73	770.13	371.18	16.26	352.57	322.93	191.57	608.45	210.89	328.31	8.38	810.90	993.12	119.73	804.52	137.93	809.69	651.85	805.52	17.73	298.13	289.77	27.46	203.78	888.81	941.87	756.91	119.29	377.82	437.30	811.82	280.54	207.44	
183.00	295.81	559.01	504.93	486.38	167.45	714.83	813.69	174.83	525.72	806.81	293.56	330.25	943.75	103.25	981.10	749.26	119.98	279.23	39.03	146.44	482.01	926.84	88.30	238.92	46.13	465.12	675.23	856.96	744.67	881.66	39.96	40.47	440.67	543.89	525.85	607.12	258.72	339.54	780.95	783.44	146.35	74.51	113.69	90.10	176.76	94.79	838.36	295.74	373.02	876.39	441.18	854.03	803.23	528.48	92.96	848.36	992.60	767.18	705.32	737.27	648.85	744.28	776.74	89.52	288.17	302.59	695.64	545.88	641.14	
476.59	329.32	786.49	550.11	442.01	875.59	725.87	535.80	713.95	21.61	907.82	590.34	461.78	761.85	393.57	989.26	853.81	241.93	981.87	621.00	946.24	719.14	269.84	690.52	495.88	358.36	977.69	797.47	54.00	523.57	438.61	529.59	851.89	225.10	79.70	293.91	100.69	804.57	828.71	813.64	825.17	736.53	403.98	286.95	498.38	796.54	276.22	352.19	38.47	258.08	972.19	983.72	976.22	242.03	674.24	472.10	599.39	651.93	269.57	652.39	175.50	707.18	181.98	27.39	931.28	260.68	320.30	31.97	65.25	149.00	
844.61	889.42	884.53	248.59	176.37	382.91	45.13	451.59	734.11	82.60	708.67	706.30	66.32	684.89	947.33	739.55	156.98	546.72	391.48	425.56	199.11	565.98	132.74	380.09	592.37	64.02	639.77	911.67	94.99	704.02	60.67	938.60	593.44	944.20	187.19	768.81	327.12	231.32	220.39	61.23	312.92	928.06	766.52	378.23	612.95	713.85	117.79	768.93	260.57	508.27	194.49	458.68	74.25	326.23	837.78	665.62	389.25	477.55	577.28	483.25	181.57	636.96	421.85	774.01	581.16	608.04	542.82	907.28	838.35	762.21	
967.50	151.27	690.27	734.03	528.50	303.22	447.88	645.29	72.16	707.46	153.56	265.65	166.14	226.80	590.88	3.92	891.42	979.14	480.47	468.70	462.38	661.04	105.66	883.23	435.05	685.82	491.27	976.86	593.10	329.62	739.07	560.60	479.89	429.35	294.63	8.39	731.57	741.52	652.67	802.73	448.97	805.23	68.38	614.12	32.03	658.26	617.04	922.45	637.39	97.51	391.16	99.78	757.55	495.82	982.01	192.60	181.64	473.28	169.46	773.74	801.90	907.54	334.34	281.78	336.89	627.97	289.17	68.46	369.49	940.84	
870.19	817.46	746.07	937.56	431.58	777.11	595.82	48.62	699.56	233.21	145.13	90.72	331.99	901.68	585.54	314.00	94.27	766.18	786.28	262.74	539.92	588.18	170.27	873.26	868.96	506.16	501.23	158.13	573.61	869.72	98.98	443.80	687.18	844.05	381.36	118.76	621.16	976.18	166.38	320.72	209.40	310.50	410.44	540.39	212.18	994.98	853.39	305.45	761.16	639.67	567.19	301.07	227.85	736.46	174.33	96.82	242.62	674.56	253.95	815.23	544.28	351.93	259.03	231.46	195.98	639.40	349.21	816.13	615.58	514.59	
136.85	823.98	824.10	546.29	364.37	36.28	541.27	217.76	340.73	302.42	856.44	906.92	602.50	84.29	643.38	775.83	180.11	885.00	450.38	433.06	700.24	993.66	783.98	958.27	225.11	978.96	597.67	573.33	795.10	213.25	87.92	930.95	37.23	911.02	477.24	400.59	946.30	18.51	617.36	287.03	319.93	473.79	193.95	921.43	557.08	836.33	697.25	736.19	721.34	147.64	169.24	421.58	141.30	952.23	379.85	365.41	931.19	976.52	937.74	726.28	189.77	25.66	657.23	226.00	935.68	134.47	625.59	881.98	151.98	242.95	
