70
70
35
155     62
438     43
255    102
 92     36
471     94
297    118
478    143
350    140
233     93
 90     27
 21      4
297     29
484     96
276    110
379     75
425    212
463    231
 20      4
236    118
295     29
365    146
489    244
211     21
133     39
330    132
117     35
459     45
167     50
300    150
276     27
 18      5
307    153
168     84
400     40
130     13
312     62
489     97
 49     14
350    175
239     71
202    101
126     63
355    106
313    156
321    160
429     85
385    154
 21      6
264     52
 52      5
211     42
196     78
365     36
495    198
118     35
490     98
184     18
182     91
494     98
288     86
 74      7
249     24
 57      5
107     42
170     68
406    121
320    160
176     17
 48      4
495     99
371     34      683
631     49      495
462     41      458
640     36      594
340     69      213
129     20      281
372     74      497
162     36      261
774     67      554
891     22      620
663     21      237
297     13      359
952     83      218
711     39      310
992     25      607
824     64      507
213     68      483
590     73      214
487     65      646
306     28      379
896     68      266
377     33      494
169     63      371
789     90      493
392     62      579
594     85      512
146     31      675
252     69      531
284     80      463
574     37      486
875     25      488
230     98      445
148     56      527
860     44      245
849     33      586
855     97      540
390     16      574
307     86      382
867     58      347
896     52      674
367     94      548
807    100      632
280     41      580
410     29      567
218     28      241
936     32      232
578     63      620
674     43      271
785     54      246
151     82      566
588     56      697
970     84      559
434     77      359
634     48      614
865     62      351
756     97      237
918     43      672
545     70      572
522     27      314
858     47      434
432     61      358
930     97      603
858     53      426
228     85      431
729     33      648
264     36      311
185     60      271
490     96      267
706     96      239
719     23      665
325.42	925.99	421.56	614.08	69.44	44.38	240.56	467.82	501.56	443.34	50.28	808.04	930.01	807.83	633.81	729.05	92.90	923.23	230.13	786.68	274.17	230.14	587.03	15.90	641.61	683.64	806.79	266.96	868.06	700.48	270.13	193.47	626.47	690.70	806.55	694.91	734.07	47.11	162.73	235.63	489.44	212.01	43.67	419.45	19.84	676.48	148.50	111.74	599.71	377.64	897.42	872.88	606.77	484.45	887.78	248.38	168.09	694.57	514.33	36.15	395.05	783.47	228.62	21.53	474.16	35.17	715.44	208.23	81.27	877.17	
442.87	569.72	89.17	485.54	988.17	108.01	162.02	136.67	218.75	760.72	513.31	116.18	633.60	120.08	599.63	521.38	367.45	766.72	215.95	880.79	801.87	610.01	664.25	30.49	630.53	138.41	64.65	345.97	345.65	144.93	223.14	787.51	713.65	311.31	273.05	701.82	418.32	434.07	837.49	636.07	194.79	350.79	751.25	827.39	469.87	350.87	348.77	836.32	117.59	563.72	717.10	918.46	173.73	381.36	947.95	803.26	518.77	12.60	149.23	863.42	156.53	371.36	650.93	869.18	681.67	922.98	571.00	99.99	357.05	408.48	
735.06	550.83	758.27	486.31	378.22	228.14	836.18	725.99	64.46	952.77	289.71	780.56	871.23	462.44	161.92	819.18	265.69	679.69	830.78	413.92	543.11	986.31	784.29	194.04	855.49	465.96	117.02	426.49	564.95	473.07	833.97	300.02	23.90	592.24	785.32	401.12	819.38	621.50	127.11	882.84	574.27	415.82	663.41	445.50	877.26	824.33	264.68	142.96	504.02	95.46	555.88	47.12	81.77	340.17	240.16	936.27	805.13	356.18	362.75	370.09	828.25	196.72	669.10	851.15	787.97	454.43	252.27	607.35	75.93	378.39	
490.19	649.21	793.21	153.60	94.71	670.47	976.93	358.39	812.43	480.94	452.86	368.31	527.07	533.63	707.48	766.23	469.90	512.61	122.41	831.65	881.70	949.66	28.38	550.80	800.81	815.35	5.23	53.08	422.70	80.16	430.47	911.89	728.37	223.68	65.49	822.08	893.15	42.42	180.47	705.58	522.37	632.33	73.89	49.44	165.97	780.37	814.66	634.86	292.98	936.07	466.52	174.67	885.73	493.90	724.47	686.54	309.24	728.70	738.61	730.94	807.86	169.08	642.83	536.23	391.76	707.32	358.31	284.91	748.75	537.79	
989.49	271.11	170.12	63.38	319.55	335.08	842.75	134.21	968.95	135.72	70.29	435.47	309.40	955.02	928.36	33.87	641.56	237.60	761.58	380.17	967.54	569.44	548.25	610.37	105.67	939.01	317.70	462.98	223.92	66.44	999.77	213.40	336.56	169.88	275.78	655.11	503.97	118.53	788.32	472.91	253.25	857.61	907.38	561.65	812.63	835.74	594.52	454.18	73.35	356.10	833.35	40.89	924.54	381.60	650.26	30.21	320.61	966.96	492.19	543.53	33.40	491.96	755.93	368.96	660.84	31.71	24.06	164.81	149.24	811.38	
636.72	401.49	668.99	544.10	962.13	481.62	379.84	556.66	934.80	452.19	911.75	768.15	492.08	836.29	149.76	142.34	865.50	469.37	109.30	357.69	12.90	141.70	848.65	767.83	509.66	509.49	798.54	532.72	673.29	946.78	344.10	310.02	348.27	13.10	853.12	310.40	493.71	232.96	866.06	428.52	684.15	777.81	196.67	176.22	614.10	345.43	317.56	479.60	813.80	425.86	836.29	825.70	566.55	684.94	593.53	76.21	194.42	392.07	607.93	866.72	338.85	951.03	176.73	686.11	963.13	29.85	995.52	456.84	261.81	861.57	
