70
70
28
242    121
285     85
 86     17
450    135
 33     13
249     74
 31      6
201     40
176     88
 95     19
161     64
183     36
218     43
119     23
394     39
 57      5
410     82
157     47
182     72
242     96
388     77
433    129
107     32
389    116
158     63
195     58
220     22
242     24
329     98
184     92
199     59
 70      7
 63      6
305     30
313     62
 46     13
132     26
215     86
208     62
319     63
 77     30
271     81
 93     37
320     96
181     36
241     48
332    166
 83     33
123     12
332    166
135     13
232     69
 57      5
197     59
 40      4
323     32
126     50
105     42
308     92
333     66
131     39
455    182
 85     17
 58     29
233     69
230     69
 74     14
221     44
110     22
 89     17
778     49      492
417     55      216
404     85      360
174     31      630
672     70      277
665     76      467
769     54      549
871     44      350
638     93      220
990     65      582
637     99      613
712     29      203
774     54      334
426     18      354
490     50      204
431     57      560
786     31      631
955    100      636
955     28      571
530     65      450
379     22      541
727     40      253
800     84      629
609     93      425
100     10      512
953     39      680
167     42      579
567     38      482
331     36      450
710     44      664
745     95      562
582     81      488
789     56      427
917     85      468
257     28      665
963     41      250
837     43      234
573     23      259
881     62      647
369     55      501
681     63      641
211     77      559
282     41      504
281     98      274
264     51      213
829     60      508
329     85      381
439     23      390
540     75      444
157     85      251
998     10      640
827     49      531
403     50      304
163     22      314
481     68      255
757     26      362
951     51      294
799     42      381
843     61      390
944     66      290
872     87      344
312    100      251
478     20      578
514     82      317
302     37      520
308     94      288
285     46      367
429     33      300
730     58      347
761     51      313
793.03	57.43	586.99	927.47	821.99	616.52	587.63	314.26	942.59	161.42	10.49	891.58	822.67	25.50	845.01	339.93	687.89	379.26	401.50	9.28	758.95	686.21	604.23	702.27	749.40	469.46	599.61	630.52	674.04	42.76	420.17	467.07	99.19	7.16	394.54	920.17	622.68	981.17	234.43	565.27	142.60	243.92	456.84	964.27	268.42	301.85	304.20	955.31	680.12	704.71	963.59	439.06	390.92	567.82	141.33	140.31	37.28	739.94	769.84	710.32	781.69	190.01	177.39	879.88	196.17	570.93	800.05	817.85	552.11	34.49	
383.12	693.70	277.41	838.96	657.98	544.83	140.81	961.18	500.14	819.93	665.88	463.73	259.00	56.80	31.55	399.32	196.11	67.83	139.26	964.95	777.15	919.96	154.96	953.54	799.84	350.13	524.47	599.89	167.98	76.58	633.38	550.10	769.29	909.79	389.05	427.26	454.63	528.87	388.44	953.77	348.80	54.32	417.50	606.79	110.12	448.05	6.12	305.24	514.88	144.38	270.19	292.03	64.34	424.15	245.57	863.18	773.28	769.04	463.07	940.26	844.63	96.45	490.35	613.91	6.24	878.41	41.17	459.87	407.27	428.61	
413.64	755.07	481.93	830.13	361.86	591.05	278.18	366.98	895.29	792.06	510.36	165.48	84.09	573.69	588.62	328.65	436.87	361.90	97.70	898.94	302.16	941.32	994.39	791.51	555.23	999.64	669.92	595.41	459.50	77.19	24.02	872.14	831.26	504.95	702.27	193.12	96.00	979.46	559.09	990.29	771.51	69.45	155.77	854.60	642.14	743.40	183.25	79.01	105.30	279.95	976.95	406.46	221.27	971.34	197.97	775.51	970.98	866.89	370.91	430.48	943.08	393.93	302.63	774.34	897.88	4.90	966.46	992.88	983.36	525.55	
983.18	754.87	594.00	138.95	609.47	236.14	881.34	791.72	314.15	985.64	71.67	291.10	392.10	291.95	262.45	589.07	67.45	233.43	455.96	437.37	662.91	399.04	830.30	964.54	173.38	728.18	968.44	139.84	721.06	951.79	664.39	704.24	706.66	258.39	842.19	316.13	493.53	723.54	107.85	806.68	709.18	178.52	97.78	101.28	469.46	359.23	689.35	535.92	591.66	145.31	972.29	254.57	543.35	802.59	219.10	715.73	530.77	187.54	854.57	251.83	139.33	518.96	955.08	845.00	776.35	797.27	161.12	269.88	520.80	267.97	
