70
70
28
487     97
461     92
101     20
233     23
155     15
283     84
298     29
439     87
475    237
219     65
395     39
160     64
234     46
484     48
192     38
463    231
174     87
272     54
216     43
493     49
442    132
262     26
402    120
153     61
 12      3
348    104
449     89
190     95
104     52
313     62
139     55
 70     21
305     30
174     34
433    173
371     74
 46      9
218     21
323     32
140     42
435    130
328     98
 91     18
278     55
286     85
 77      7
462    138
324     64
 75     15
276    110
259     51
 92     27
376    150
 60     18
374     37
235     70
274     27
403     40
282     84
252    126
473    189
195     97
 62     24
306    153
112     11
337     67
324     97
474     47
326     32
215     21
358     33      241
423     98      549
714     74      305
518     99      288
701     44      594
770     10      581
154     36      648
664     37      679
241     69      432
209     71      500
807     95      609
303     99      543
149     58      244
201     63      206
271     14      222
455     89      503
589     30      598
414     40      298
332     27      312
635     35      261
570     84      520
781     97      544
732     76      613
927     52      490
164     96      277
556     71      255
254     48      286
267     22      596
507     99      596
830     91      506
950     68      342
801     56      383
359     65      355
434     82      448
343     78      218
821     97      495
670     59      328
130     34      666
342     79      473
868     32      306
388     52      211
574     81      381
777     79      650
439     11      502
406     31      634
554     60      672
751     71      304
190     39      532
766     55      269
898     72      416
790     45      593
217     47      589
615     24      260
157     45      251
798     10      625
561     67      584
943     76      307
322     41      211
469     93      480
595     11      202
226     87      517
725     28      622
700     66      633
887     10      418
636     86      369
473     24      651
798     93      460
180     40      243
431     86      362
863     63      232
966.95	186.26	301.07	92.14	715.97	332.82	965.03	228.20	766.06	213.11	290.80	804.14	858.33	379.85	936.48	68.85	332.94	742.61	323.79	170.66	953.55	154.56	319.08	863.88	789.45	276.37	94.89	753.01	125.43	405.94	96.03	92.38	591.21	396.10	183.52	307.18	727.92	148.55	534.38	493.98	360.66	824.17	298.12	218.99	204.03	234.60	286.85	535.96	976.21	609.64	705.62	929.77	763.19	24.70	793.64	552.65	300.07	887.53	305.66	424.50	293.47	400.70	515.88	883.68	795.79	698.40	190.86	523.72	845.95	724.24	
17.70	206.61	548.41	314.82	424.60	751.44	548.43	710.45	287.40	524.64	320.09	992.02	454.41	83.28	16.72	248.05	634.93	315.79	135.58	939.59	739.29	428.05	340.29	255.17	311.73	136.08	952.57	501.59	658.80	798.52	225.83	675.50	5.13	773.24	989.32	428.74	524.68	537.75	139.19	811.07	62.39	458.27	803.09	515.80	540.55	818.81	762.85	175.48	134.60	897.43	115.07	872.89	325.48	454.36	128.06	636.21	589.44	80.63	137.81	248.24	878.15	362.64	922.74	882.28	135.88	912.06	311.02	659.55	449.81	449.21	
470.63	511.20	906.48	273.72	27.00	447.03	92.53	788.85	621.51	226.13	686.28	735.58	99.02	11.76	189.95	226.08	646.97	778.39	305.71	783.78	26.63	183.86	146.42	948.37	66.15	281.30	860.44	376.17	939.85	310.25	824.37	410.48	820.45	730.85	683.19	846.45	177.88	774.72	635.30	798.39	999.85	321.58	533.98	98.87	332.34	722.92	323.94	978.31	501.31	628.65	762.08	526.94	811.52	907.50	475.31	876.66	188.80	335.75	252.83	128.65	645.00	77.20	538.13	465.45	807.05	221.32	311.91	983.93	995.04	946.21	
782.33	994.89	267.79	316.31	93.75	599.12	39.23	416.70	577.43	539.54	45.35	339.51	66.49	855.87	247.01	540.80	732.53	434.81	875.55	984.35	562.46	520.55	61.56	100.59	985.00	867.61	320.91	296.91	851.54	315.95	243.12	633.87	310.83	509.90	949.18	403.59	109.02	987.41	819.28	685.45	526.96	863.63	24.96	592.44	719.50	270.98	133.25	452.02	704.79	8.80	436.38	267.25	528.35	496.93	366.84	513.35	364.54	686.75	809.26	216.08	2.69	52.38	848.95	312.53	561.28	798.13	715.11	669.30	785.54	534.39	
354.75	312.50	398.02	378.71	903.95	117.52	648.69	37.19	568.54	353.48	44.99	4.92	619.73	572.34	500.85	985.57	85.69	864.39	672.32	893.95	80.48	674.02	945.32	928.43	985.54	506.60	726.56	700.66	175.90	512.11	235.05	529.65	823.61	632.07	907.36	727.55	748.59	556.05	763.74	317.14	908.53	807.73	321.05	528.27	380.07	820.91	513.84	464.75	685.30	186.16	358.70	764.77	859.18	304.02	693.20	844.72	809.62	419.77	545.38	984.52	930.87	779.43	514.17	754.48	411.51	421.53	482.04	160.10	976.58	245.78	
476.23	885.12	53.51	796.29	413.38	432.58	617.20	926.23	896.33	302.49	112.39	255.03	67.27	970.57	558.06	759.47	815.30	367.68	179.24	360.68	352.20	110.11	140.11	865.36	863.59	550.62	286.89	345.63	709.72	263.48	590.41	185.95	148.59	642.93	981.24	560.98	75.51	598.44	487.21	970.84	899.93	598.60	225.88	966.20	569.17	782.94	725.67	384.47	150.61	903.91	744.15	501.81	14.02	883.26	367.17	876.62	433.88	653.07	222.25	143.59	915.54	811.66	328.54	64.14	454.59	309.78	624.12	529.10	907.22	111.32	
