70
70
28
376     37
447     44
445     89
403     80
347     69
189     56
 31     15
345    138
499     99
219     43
465    232
210     42
433    129
284    142
162     48
486     97
156     15
128     51
354     35
367    183
187     37
187     74
422     84
454    181
248    124
347    138
110     11
259    103
175     87
326     65
277     55
 76     22
348     34
128     51
426    170
393     39
252     25
417    208
312    156
198     79
148     29
367     73
303    151
388    155
158     15
 16      6
129     51
 68     34
266    133
274     82
276     55
399    119
447     44
297     89
398    159
308    123
136     27
496    248
396    118
 12      2
201     80
189     56
 90     36
393     78
 38     15
248     24
429    128
429     42
279     83
133     13
666     77      618
243     25      368
884     42      661
741     52      509
763     28      509
395     18      663
491     14      360
743     98      310
921     87      668
163     26      252
605     77      297
788     64      469
742     73      403
355     21      442
843     18      384
151     39      296
705     74      221
335     97      285
925    100      605
980     55      618
651     53      451
766     69      217
291     17      238
545     95      660
928     28      638
300     32      334
835     39      336
571     29      488
267     59      681
557     76      523
127     33      218
816     68      344
496     75      691
320     67      425
115     12      400
700     55      245
872     37      635
401     28      560
566     97      356
571     38      602
453     51      358
322     72      700
154     63      370
457     45      561
312     12      688
926     41      300
214     41      403
972     86      455
484     26      632
920     96      307
788     80      373
462     36      383
677     81      571
118     14      411
906     85      342
933     18      508
359     19      292
536     68      224
641     88      542
625     84      519
202     39      548
489     79      561
587     41      409
817     92      538
344     33      285
767     76      609
652     54      330
988     73      219
288     73      214
165     82      232
497.64	707.94	945.42	278.77	979.22	42.03	975.48	350.83	616.35	197.15	185.47	357.40	758.28	607.88	941.55	186.20	789.37	168.88	961.75	986.54	757.43	248.22	591.93	680.31	993.88	927.17	249.62	697.56	328.26	987.07	64.11	824.90	695.01	9.53	103.67	674.23	50.57	79.14	25.06	665.92	275.29	209.53	23.32	33.57	816.41	963.86	218.78	605.78	132.75	180.53	592.32	889.18	427.75	184.25	569.49	421.63	111.42	818.11	119.19	438.68	805.18	182.30	263.58	500.18	190.84	366.24	174.41	240.40	444.39	198.47	
