70
70
35
150     60
428    214
 99     49
410    164
 90     45
291    145
106     42
 95      9
239     71
 49      9
271     54
483    193
350    140
396     79
279     55
234     23
200     40
104     10
344    172
380    114
191     38
257    128
484    242
118     59
156     46
200     20
162     32
256     51
251    125
136     27
326     97
265     26
233    116
 26      5
468     93
106     10
 66     13
 50     25
408    163
474    189
412    206
192     96
 66     19
182     72
300    150
153     30
485    242
247    123
372    186
390     39
371    148
487     97
166     83
187     74
290    116
339     33
429    171
372     74
179     71
397    158
178     17
200     60
 62      6
476    190
412     41
368    184
177     17
420    126
101     10
 12      2
519     68      478
401     66      536
718     21      460
825     81      332
233     86      415
424     92      488
757     55      314
978     58      419
452     22      591
714     70      647
567     66      217
926     47      466
881     40      639
854     62      364
979     56      289
951     93      661
187     96      542
531     29      488
375     62      300
225     80      422
639     96      530
870     90      529
812     21      695
920     78      231
150     72      331
851     60      623
379     83      340
514     34      553
799     15      478
335     76      491
138    100      309
274     76      502
230     81      574
326     10      315
950     57      634
309     96      288
891     67      603
279     19      495
926     12      254
559     65      239
426     51      441
583     64      271
481     75      505
261     63      626
958     53      682
353     95      340
375     60      332
517     47      270
221     27      629
307     89      433
788     44      492
955     43      204
595     49      508
974     43      232
927     56      482
485     24      639
535     39      655
353     84      622
362     83      491
790    100      679
307     37      660
612     41      346
560     81      227
384     44      533
168     43      461
148     53      407
403     87      367
226     41      610
830     55      201
407     76      668
500.92	63.09	385.06	9.88	737.46	744.53	492.29	402.95	686.47	334.51	321.22	631.37	83.05	823.74	849.53	484.83	573.03	708.21	247.40	287.45	808.37	859.36	593.23	483.87	175.17	807.49	72.18	673.55	189.64	470.09	379.61	689.56	532.18	763.67	698.44	269.64	508.21	190.73	671.59	194.68	524.24	991.81	825.05	606.29	815.55	674.58	91.12	388.58	382.78	337.52	675.02	191.15	196.88	268.25	674.02	371.05	75.74	745.20	44.60	264.38	215.29	423.21	952.94	746.47	186.88	651.38	16.11	694.08	841.11	686.70	
887.76	365.35	678.50	712.81	970.64	494.05	387.39	61.76	881.63	769.17	398.28	556.65	959.32	594.17	823.90	633.34	964.22	898.65	378.55	8.81	163.03	592.84	431.02	115.97	339.31	616.90	766.36	354.41	310.98	607.47	41.11	198.74	971.82	718.61	910.55	942.46	212.66	297.94	4.22	94.29	67.11	401.51	649.94	26.43	994.67	473.84	658.77	958.89	372.49	37.32	966.70	534.52	629.16	397.72	649.49	967.47	14.62	415.85	321.88	324.61	23.31	361.99	522.35	994.13	80.60	432.90	936.60	292.26	729.84	939.82	
385.55	795.94	341.33	35.48	821.37	336.00	508.32	480.15	294.89	879.81	516.47	261.60	414.33	145.64	658.32	63.82	113.11	671.95	478.66	433.99	995.55	500.98	794.98	517.90	495.11	874.58	949.80	431.71	166.84	679.64	371.53	551.39	475.58	711.86	585.88	296.96	47.87	94.20	776.11	341.76	973.01	292.58	602.36	387.34	437.22	260.68	450.15	549.32	931.63	927.82	982.31	927.18	428.79	777.29	445.08	922.91	651.87	394.88	354.62	817.71	74.52	725.15	369.11	549.10	437.01	953.98	845.06	483.88	48.19	621.17	
824.64	21.20	912.75	427.00	407.53	349.96	686.68	856.69	898.29	618.31	784.50	880.60	545.49	213.30	657.88	989.57	136.20	309.75	384.45	489.82	127.47	457.97	214.97	495.57	7.07	650.98	449.56	851.13	134.86	496.74	472.30	958.50	516.94	385.05	385.51	923.47	734.01	72.19	780.16	632.30	689.50	564.66	512.90	234.99	776.96	170.78	224.56	912.16	479.53	608.01	401.99	606.00	65.98	615.95	101.57	72.05	266.93	550.13	922.18	400.80	46.87	394.48	359.30	562.81	778.53	743.81	486.28	512.54	815.00	266.44	
144.84	504.50	830.10	656.74	738.48	607.06	826.52	962.04	519.22	306.05	570.05	920.21	911.05	635.03	536.16	12.63	706.08	802.10	561.76	628.26	202.89	607.63	22.75	561.19	170.44	800.28	305.00	655.72	312.82	119.99	921.16	456.67	623.49	751.26	113.41	361.97	358.32	938.93	324.02	876.54	244.98	893.07	796.75	156.03	528.10	332.91	167.66	234.18	135.01	728.42	861.44	336.91	336.05	883.19	897.10	505.49	683.47	202.10	161.21	995.29	321.10	82.37	451.96	943.58	832.63	564.36	305.56	190.95	503.29	628.57	
67.49	747.27	521.64	863.24	902.30	49.74	196.16	69.96	282.91	330.17	797.38	144.35	666.08	133.42	27.54	563.18	637.91	710.01	764.28	798.12	705.30	85.37	879.49	157.26	28.96	712.12	720.62	333.52	902.07	223.91	961.09	968.56	970.18	482.73	831.80	872.48	531.47	27.95	941.44	813.38	357.12	738.82	956.73	23.20	871.24	983.27	585.37	509.15	693.28	349.65	307.27	398.58	434.02	186.76	554.83	461.98	897.88	275.45	794.50	799.94	498.36	755.58	768.50	468.54	238.32	600.30	341.02	768.78	627.25	282.46	
582.16	983.37	21.28	538.90	6.57	891.52	522.17	590.94	400.67	215.45	939.59	706.93	613.03	373.62	892.69	167.87	834.60	790.57	442.32	629.09	590.51	939.68	384.67	359.01	408.22	621.99	958.30	748.25	390.77	585.55	30.71	971.94	568.92	50.99	510.84	574.49	941.51	33.01	165.43	342.18	247.47	105.02	49.11	859.50	477.64	940.80	27.36	312.23	731.37	468.68	940.32	321.88	408.36	325.00	679.88	815.59	945.99	638.19	563.84	336.76	223.74	593.55	308.70	791.66	643.54	818.54	366.15	585.05	850.55	530.58	
926.22	98.01	634.60	974.33	956.51	112.24	915.14	982.88	423.47	646.50	451.56	363.80	967.38	858.92	687.80	647.26	674.51	633.78	285.45	238.35	969.55	508.19	830.90	278.25	299.84	474.44	96.78	664.99	59.49	946.33	195.57	984.71	44.34	829.17	959.04	999.85	940.41	874.18	982.73	363.89	520.68	434.29	726.68	488.06	293.21	414.48	135.33	966.72	48.27	419.77	205.07	17.81	926.96	35.97	295.06	226.80	509.41	390.84	890.80	567.90	337.17	86.37	552.61	380.51	914.54	511.65	380.36	854.95	385.83	363.09	
218.84	905.51	796.38	944.52	393.58	89.59	359.00	527.90	56.31	406.27	946.68	260.38	423.08	873.64	295.36	717.14	100.44	803.77	107.98	990.24	371.66	444.15	76.61	923.27	823.66	990.15	434.92	204.02	845.10	819.75	566.12	63.94	725.26	362.49	8.46	118.84	451.08	366.47	645.74	506.39	771.74	592.42	765.77	194.82	466.06	61.13	910.96	565.50	863.90	18.94	555.74	235.56	462.09	631.34	158.83	285.75	621.49	592.74	488.78	466.59	412.49	54.89	529.53	137.76	416.39	536.99	255.60	866.47	902.46	900.35	
372.86	674.20	492.77	138.63	868.02	957.83	198.76	778.98	523.33	62.66	796.92	79.07	297.22	259.01	709.41	455.04	543.76	330.90	47.78	32.54	796.49	459.28	86.43	326.02	596.04	501.82	862.01	850.64	368.29	764.47	750.99	740.14	438.67	243.75	877.78	306.69	201.58	76.54	85.66	723.91	138.20	881.58	801.98	434.41	140.59	511.39	888.45	683.36	841.29	935.24	714.90	637.78	394.52	800.33	962.80	989.55	302.15	824.81	840.19	669.44	589.28	591.18	409.58	27.95	833.93	287.36	333.64	35.51	362.90	418.30	
758.42	500.09	299.88	560.40	933.50	439.48	71.79	821.96	122.84	912.08	757.19	836.74	549.86	151.71	637.07	512.66	141.26	938.22	337.47	980.46	607.66	925.75	571.64	17.25	952.70	405.57	303.61	286.34	440.09	665.50	703.64	198.51	165.60	3.52	757.91	99.10	442.00	828.70	920.05	563.83	740.77	677.25	400.57	290.63	827.95	37.64	802.29	968.22	974.86	139.76	948.67	582.53	65.51	520.31	598.77	18.22	924.88	901.38	303.56	364.97	566.88	7.20	562.48	731.48	9.72	320.39	829.58	450.72	149.08	749.63	
14.55	888.86	426.88	414.12	179.49	254.83	450.76	980.77	223.05	425.62	120.53	171.72	8.15	185.04	691.03	605.92	202.26	615.91	507.30	504.82	979.88	74.18	511.01	542.35	804.65	519.73	861.74	634.23	969.45	10.83	383.86	983.00	898.68	809.74	397.12	78.17	64.57	846.88	58.94	286.61	272.50	178.48	457.33	279.64	362.52	148.36	884.56	563.78	763.27	391.86	68.60	743.15	465.04	578.61	285.50	269.69	98.34	147.24	902.92	67.79	157.07	286.78	50.78	55.75	96.52	446.90	132.92	160.09	293.77	190.86	
445.70	565.27	368.34	902.03	843.92	729.86	50.39	728.48	293.64	812.66	120.34	361.24	555.81	584.38	938.85	840.31	853.07	37.19	986.56	756.00	103.98	143.62	42.78	153.76	198.38	138.30	599.66	330.30	297.38	892.43	520.16	742.08	457.71	887.50	644.11	301.62	617.36	693.51	30.10	910.01	506.17	149.44	271.25	61.98	732.82	210.10	901.29	585.90	246.29	887.85	341.89	349.27	31.47	383.67	502.03	228.85	520.97	101.69	558.14	817.35	993.13	78.30	559.43	450.83	964.80	203.55	751.45	582.17	896.05	780.56	
492.18	402.22	929.00	762.43	463.20	661.82	971.53	364.50	247.72	217.83	252.35	588.62	566.10	282.82	971.29	68.13	510.67	492.26	168.82	68.81	309.61	161.95	146.12	868.04	611.78	110.92	71.59	363.23	692.09	966.64	143.79	184.27	368.86	72.79	945.70	831.06	733.61	917.23	195.55	980.34	135.06	446.90	568.95	700.16	728.72	540.24	767.29	239.39	32.50	935.12	307.20	341.11	97.06	452.32	209.15	707.84	562.24	279.74	71.07	254.33	246.37	213.86	437.60	614.23	285.65	383.30	445.29	19.27	300.53	639.85	
998.60	434.59	86.75	567.56	134.76	814.47	107.80	901.05	53.85	139.30	836.16	360.05	479.41	932.23	811.37	687.56	640.07	373.61	966.30	710.14	626.94	212.67	923.01	64.54	825.90	208.66	446.84	271.19	226.93	746.37	910.04	225.53	180.97	995.79	792.09	314.72	810.25	898.89	215.77	863.11	38.19	51.94	223.16	516.60	983.16	34.53	204.17	623.23	407.14	170.46	333.37	34.08	382.13	256.38	97.62	208.04	464.04	543.46	478.23	689.96	289.84	388.27	914.50	469.81	384.06	706.59	783.53	194.31	605.48	998.30	
57.41	642.67	50.24	279.57	159.28	33.40	313.10	362.44	655.63	719.25	531.90	988.01	752.33	913.04	244.39	848.95	121.07	707.42	392.42	598.30	397.39	681.25	985.58	311.88	151.06	369.63	18.47	933.59	562.94	622.95	931.89	619.36	265.62	981.13	897.93	423.89	14.53	211.04	785.33	669.17	929.28	317.24	657.17	681.61	230.27	900.56	530.56	350.35	607.98	921.98	947.65	5.37	603.23	933.23	316.26	753.29	302.86	333.73	686.88	864.80	955.67	618.77	484.16	221.29	599.90	382.09	644.18	613.43	592.13	429.51	
282.60	521.41	745.75	938.77	203.02	975.02	839.33	732.58	325.37	447.31	654.56	273.02	451.69	257.79	206.25	766.94	11.08	508.11	100.67	696.96	372.92	56.34	315.73	856.07	276.63	914.62	238.16	919.81	528.06	829.29	349.32	809.65	350.70	95.07	748.42	552.72	70.09	587.75	285.30	394.46	35.07	938.86	666.48	485.75	196.64	871.74	252.69	206.72	379.85	352.36	902.68	751.76	407.70	218.40	607.84	683.33	133.03	845.00	603.14	660.08	674.29	951.46	469.74	24.99	46.53	218.16	576.71	115.62	804.92	861.01	
509.08	838.98	799.86	175.56	324.73	995.51	47.30	576.42	202.23	426.14	927.79	104.91	177.91	335.49	322.31	784.74	18.82	454.34	629.75	620.96	114.42	304.04	572.42	583.16	328.03	617.95	800.32	903.74	732.57	605.24	764.75	241.65	444.22	564.61	416.21	767.95	560.11	462.51	344.37	761.34	887.65	272.16	865.25	65.56	606.65	187.56	849.31	624.47	640.89	479.05	245.43	754.32	782.09	816.86	337.48	110.12	434.81	137.80	13.86	167.38	742.04	777.61	408.03	186.26	342.22	823.25	953.21	901.33	285.75	297.59	
662.67	173.41	568.75	527.92	237.97	175.40	714.47	87.28	798.87	355.37	565.33	44.30	109.68	347.42	860.16	446.16	456.54	294.97	582.96	469.41	461.35	325.00	247.02	868.39	510.26	588.24	691.63	463.47	489.57	976.39	760.06	152.24	149.80	328.81	679.15	386.77	503.20	393.63	473.04	302.07	747.99	38.37	345.37	856.67	384.79	205.53	302.83	840.33	499.50	884.80	309.74	959.86	209.80	555.76	828.24	719.06	144.00	519.88	182.54	632.56	496.26	941.60	783.80	645.06	270.41	462.95	31.83	772.61	855.58	503.87	
