70
70
42
375     37
312     31
489     48
193     96
143     71
359    107
227     22
317    126
238    119
405     81
312     93
151     60
279     55
250     75
 52     20
218     43
201    100
191     19
377    150
194     97
 96     38
305     61
484    145
363    181
340     68
 70     21
183     73
384    115
491    147
481     48
284    142
450    180
430     43
164     65
121     36
 36     18
497     49
231     46
 58     11
 28     11
457     45
 38     15
396    118
304     60
257    102
419     41
 88      8
120     60
220     44
419    125
335    134
143     57
381    152
 32     12
169     16
423     84
128     25
361    144
190     76
121     36
439    175
 82     24
119     35
139     13
179     53
266    106
213     42
 55     16
 90      9
128     64
638     91      459
285     56      495
730     49      407
364     34      202
455     16      287
402     55      371
165     62      203
309     48      548
904     85      436
282     59      519
390     94      372
973     81      284
893     52      337
984     80      573
638     17      590
883     99      380
482     80      303
725     86      504
301     99      345
353     82      200
109     64      375
822     69      544
832     55      495
878     10      636
492     71      472
857     95      530
156     65      483
893     25      559
257     25      287
858     87      671
507     27      222
665     46      547
203     55      465
693     78      429
971     41      549
654     37      298
898     11      346
748     74      298
802     11      393
156     11      583
685     50      363
372     91      311
435     88      413
382     21      500
437     63      684
685     88      303
275     45      680
722     93      534
628     18      607
375     59      572
658     83      534
874     60      282
404     82      415
274     57      576
543     24      464
696     18      687
540     17      405
264     69      246
529     30      291
765     24      238
982     40      464
403     79      560
391     52      331
831     81      475
736     95      289
516     25      426
432     78      320
839     23      435
604     26      524
535     59      259
432.64	35.82	646.22	921.76	592.40	462.84	701.35	741.43	368.46	954.29	822.85	748.88	750.85	762.29	464.91	980.36	936.35	396.58	293.31	777.10	725.18	281.67	238.92	541.42	46.88	280.12	142.39	691.82	374.00	755.32	510.55	805.64	790.14	156.78	727.40	382.54	618.62	428.75	123.97	986.07	383.04	945.82	734.96	133.90	708.11	199.87	114.26	644.46	595.45	406.57	421.56	320.63	687.24	659.48	861.05	733.12	938.60	3.43	424.95	312.60	757.75	934.50	118.24	547.89	91.28	844.64	929.43	708.90	273.39	53.40	
694.97	655.43	998.21	429.93	788.33	706.33	628.80	901.58	350.79	224.25	308.15	771.34	543.88	994.39	430.83	404.93	727.52	369.43	407.36	152.46	681.03	165.11	86.96	798.27	712.00	177.24	642.91	641.43	885.14	915.29	693.83	580.11	570.72	692.04	10.04	359.05	398.37	637.84	260.63	748.15	861.09	567.79	519.50	404.96	562.18	949.33	808.89	289.69	318.75	216.25	441.16	998.78	380.36	527.12	797.05	92.37	703.36	439.96	732.80	588.51	355.25	426.63	168.62	924.97	118.67	177.66	284.02	516.04	814.50	543.66	
264.19	675.59	111.45	782.69	80.56	672.62	732.02	888.45	961.32	50.77	104.70	402.47	49.55	484.06	928.59	845.60	575.43	631.96	285.56	308.23	220.46	639.81	733.86	388.09	564.78	851.53	564.75	847.80	367.57	379.25	391.46	630.76	54.84	501.91	413.45	134.40	174.53	145.47	22.85	135.85	195.24	126.54	537.32	243.79	609.61	465.91	89.39	185.04	97.87	373.95	492.27	317.34	13.76	226.13	704.42	577.53	77.66	269.17	425.33	444.23	647.42	815.79	74.99	701.27	317.70	487.44	834.67	491.23	631.91	856.51	
